AquoMetadata_MessageID;Parameter_Wat_Omschrijving;Eenheid.Code;Eenheid.Omschrijving;Grootheid.Code;Grootheid.Omschrijving;Hoedanigheid.Code;Hoedanigheid.Omschrijving;Parameter.Code;Parameter.Omschrijving;parametergroep
430;(massa)Concentratie fenamifos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;fenamfs;fenamifos;contaminants
344;(massa)Concentratie fenitrothion in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;feNO2ton;fenitrothion;contaminants
369;(massa)Concentratie fenoxycarb in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;fenOxcb;fenoxycarb;contaminants
162;(massa)Concentratie fenthion in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;fenton;fenthion;contaminants
231;(massa)Concentratie fluorantheen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Flu;fluorantheen;contaminants
428;(massa)Concentratie hexachloorbenzeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;HCB;hexachloorbenzeen;contaminants
345;(massa)Concentratie heptenofos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;heptnfs;heptenofos;contaminants
237;(massa)Concentratie kwik in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Hg;kwik;metals
238;(massa)Concentratie kwik in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Hg;kwik;metals
236;(massa)Concentratie heptachloor in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;HpCl;heptachloor;contaminants
304;(massa)Concentratie hexachloorbutadieen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;HxClbtDen;hexachloorbutadieen;contaminants
362;(massa)Concentratie hexachloorethaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;HxClC2a;hexachloorethaan;contaminants
157;(massa)Concentratie isodrin in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;idn;isodrin;contaminants
370;(massa)Concentratie imidacloprid in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;imdcpd;imidacloprid;contaminants
429;(massa)Concentratie indeno(1,2,3-cd)pyreen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;InP;indeno(1,2,3-cd)pyreen;contaminants
275;(massa)Concentratie isoproturon in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;iptrn;isoproturon;contaminants
100;(massa)Concentratie lambda-cyhalothrin in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;lcyhltn;lambda-cyhalothrin;contaminants
113;(massa)Concentratie linuron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;linrn;linuron;contaminants
66;(massa)Concentratie malathion in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;malton;malathion;contaminants
207;(massa)Concentratie 2-methyl-4-chloorfenoxyazijnzuur in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MCPA;2-methyl-4-chloorfenoxyazijnzuur;contaminants
335;(massa)Concentratie mecoprop in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;MCPP;mecoprop;contaminants
213;(massa)Concentratie metabenzthiazuron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;metbtazrn;metabenzthiazuron;contaminants
164;(massa)Concentratie metolachloor in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;metlCl;metolachloor;contaminants
114;(massa)Concentratie mevinfos in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;mevfs;mevinfos;contaminants
368;(massa)Concentratie magnesium in Oppervlaktewater mg/l;mg/l;milligram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Mg;magnesium;metals
346;(massa)Concentratie monolinuron in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Mlnrn;monolinuron;contaminants
29;(massa)Concentratie mangaan in Oppervlaktewater opgeloste fractie (bijv. na filtratie) in ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;nf;opgeloste fractie (bijv. na filtratie);Mn;mangaan;metals
239;(massa)Concentratie mangaan in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Mn;mangaan;metals
32;(massa)Concentratie molybdeen in Oppervlaktewater ug/l;ug/l;microgram per liter;CONCTTE;(massa)Concentratie;NVT;Niet van toepassing;Mo;molybdeen;metals
